Task,Test_Accuracy,Test_F1,CV_Mean,CV_Std,Training_Time_Minutes
attack_type,0.98015,0.9798411806307172,0.9801205312329208,0.00039176514241114784,11.280721950531007
traffic_source,0.9805,0.9806108860354379,0.9814564092295593,0.0007084566133134284,9.817809696992239
operator_type,0.98095,0.9806399020451029,0.981228924232926,0.0011756185686744346,10.274027987321217
