feature,importance
Bwd Packet Length Max,0.3030069953695822
Total Length of Fwd Packets,0.25391549192808843
Fwd Packets/s,0.15368051017277173
Fwd IAT Total,0.11586997540890578
Flow Bytes/s,0.11260307152964893
Bwd IAT Total,0.05466418148938808
Fwd PSH Flags,0.006259774101615009
