feature,importance
Bwd Packet Length Max,0.29821629525602367
Total Length of Fwd Packets,0.26109187889345986
Fwd Packets/s,0.14866322021775893
Flow Bytes/s,0.11846579394539665
Fwd IAT Total,0.11679884099585891
Bwd IAT Total,0.05123469145441676
Fwd PSH Flags,0.005529279237085318
