feature,importance
Bwd Packet Length Max,0.2709794141642446
Total Length of Fwd Packets,0.2536926130491479
Fwd Packets/s,0.14527747922813639
Flow Bytes/s,0.14282361594437654
Fwd IAT Total,0.13118565945852453
Bwd IAT Total,0.0500913550590446
Fwd PSH Flags,0.00594986309652561
